view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,28,18,28,18,10
1,12,8,40,26,14
2,8,6,48,32,16
3,6,14,54,46,8
4,9,10,63,56,7
5,14,7,77,63,14
6,11,10,88,73,15
7,16,14,104,87,17
8,9,13,113,100,13
9,12,14,125,114,11
10,12,13,137,127,10
11,14,11,151,138,13
12,8,8,159,146,13
13,14,10,173,156,17
14,7,15,180,171,9
15,16,12,196,183,13
16,15,10,211,193,18
17,12,11,223,204,19
18,12,15,235,219,16
19,7,10,242,229,13
20,12,12,254,241,13
21,13,12,267,253,14
22,13,17,280,270,10
23,10,12,290,282,8
24,12,11,302,293,9
25,12,9,314,302,12
26,14,13,328,315,13
27,12,11,340,326,14
28,12,11,352,337,15
29,14,12,366,349,17
30,13,14,379,363,16
31,11,12,390,375,15
32,11,10,401,385,16
33,14,10,415,395,20
34,13,15,428,410,18
35,9,13,437,423,14
36,14,11,451,434,17
37,13,10,464,444,20
38,12,15,476,459,17
39,10,18,486,477,9
40,13,11,499,488,11
41,12,9,511,497,14
42,10,11,521,508,13
43,15,12,536,520,16
44,13,14,549,534,15
45,9,10,558,544,14
46,11,15,569,559,10
47,11,8,580,567,13
48,16,11,596,578,18
49,13,15,609,593,16
50,7,11,616,604,12
51,14,13,630,617,13
52,11,13,641,630,11
53,11,13,652,643,9
54,14,11,666,654,12
55,13,12,679,666,13
56,12,13,691,679,12
57,12,7,703,686,17
58,10,13,713,699,14
59,11,11,724,710,14
60,11,12,735,722,13
61,14,17,749,739,10
62,11,8,760,747,13
63,9,9,769,756,13
64,15,12,784,768,16
65,15,13,799,781,18
66,14,10,813,791,22
67,12,16,825,807,18
68,10,12,835,819,16
69,6,13,841,832,9
70,11,11,852,843,9
71,14,9,866,852,14
72,17,14,883,866,17
73,9,14,892,880,12
74,14,10,906,890,16
75,14,15,920,905,15
76,11,10,931,915,16
77,11,13,942,928,14
78,9,13,951,941,10
79,16,11,967,952,15
80,11,13,978,965,13
81,12,9,990,974,16
82,14,10,1004,984,20
83,11,13,1015,997,18
84,11,16,1026,1013,13
85,9,12,1035,1025,10
86,16,9,1051,1034,17
87,9,11,1060,1045,15
88,12,10,1072,1055,17
89,9,19,1081,1074,7
90,16,15,1097,1089,8
91,9,10,1106,1099,7
92,13,11,1119,1110,9
93,12,12,1131,1122,9
94,12,13,1143,1135,8
95,12,9,1155,1144,11
96,13,10,1168,1154,14
97,10,12,1178,1166,12
98,14,13,1192,1179,13
99,10,12,1202,1191,11
100,13,10,1215,1201,14
101,13,18,1228,1219,9
102,14,6,1242,1225,17
103,12,13,1254,1238,16
104,10,14,1264,1252,12
105,13,10,1277,1262,15
106,14,13,1291,1275,16
107,13,12,1304,1287,17
108,12,14,1316,1301,15
109,9,10,1325,1311,14
110,13,16,1338,1327,11
111,13,10,1351,1337,14
112,10,9,1361,1346,15
113,10,13,1371,1359,12
114,13,14,1384,1373,11
115,10,11,1394,1384,10
116,15,13,1409,1397,12
117,15,11,1424,1408,16
118,7,15,1431,1423,8
119,12,9,1443,1432,11
120,16,13,1459,1445,14
121,13,14,1472,1459,13
122,10,11,1482,1470,12
123,11,9,1493,1479,14
124,11,9,1504,1488,16
125,13,16,1517,1504,13
126,8,10,1525,1514,11
127,13,16,1538,1530,8
128,14,12,1552,1542,10
129,14,11,1566,1553,13
130,11,14,1577,1567,10
131,11,8,1588,1575,13
132,12,9,1600,1584,16
133,14,13,1614,1597,17
134,11,14,1625,1611,14
135,14,15,1639,1626,13
136,12,14,1651,1640,11
137,16,9,1667,1649,18
138,13,12,1680,1661,19
139,11,14,1691,1675,16
140,11,12,1702,1687,15
141,8,13,1710,1700,10
142,8,10,1718,1710,8
143,14,12,1732,1722,10
144,10,10,1742,1732,10
145,12,12,1754,1744,10
146,13,10,1767,1754,13
147,10,13,1777,1767,10
148,12,12,1789,1779,10
149,8,17,1797,1796,1
150,17,9,1814,1805,9
151,12,11,1826,1816,10
152,12,10,1838,1826,12
153,13,13,1851,1839,12
154,10,13,1861,1852,9
155,11,13,1872,1865,7
156,14,11,1886,1876,10
157,14,14,1900,1890,10
158,12,13,1912,1903,9
159,11,9,1923,1912,11
160,12,9,1935,1921,14
161,10,12,1945,1933,12
162,11,11,1956,1944,12
163,13,15,1969,1959,10
164,11,14,1980,1973,7
165,15,14,1995,1987,8
166,16,11,2011,1998,13
167,8,9,2019,2007,12
168,13,9,2032,2016,16
169,13,13,2045,2029,16
170,12,13,2057,2042,15
171,12,13,2069,2055,14
172,9,12,2078,2067,11
173,14,13,2092,2080,12
174,11,12,2103,2092,11
175,11,11,2114,2103,11
176,12,11,2126,2114,12
177,16,16,2142,2130,12
178,11,14,2153,2144,9
179,10,12,2163,2156,7
180,8,10,2171,2166,5
181,14,12,2185,2178,7
182,10,10,2195,2188,7
183,16,11,2211,2199,12
184,12,10,2223,2209,14
185,13,17,2236,2226,10
186,13,9,2249,2235,14
187,10,14,2259,2249,10
188,9,11,2268,2260,8
189,13,10,2281,2270,11
190,13,12,2294,2282,12
191,12,16,2306,2298,8
192,12,13,2318,2311,7
193,15,10,2333,2321,12
194,10,14,2343,2335,8
195,12,10,2355,2345,10
196,14,10,2369,2355,14
197,9,14,2378,2369,9
198,11,12,2389,2381,8
199,14,12,2403,2393,10
200,15,10,2418,2403,15
201,11,11,2429,2414,15
202,10,15,2439,2429,10
203,11,8,2450,2437,13
204,14,13,2464,2450,14
205,9,14,2473,2464,9
206,14,13,2487,2477,10
207,8,10,2495,2487,8
208,15,14,2510,2501,9
209,14,10,2524,2511,13
210,6,11,2530,2522,8
211,16,12,2546,2534,12
212,13,11,2559,2545,14
213,11,17,2570,2562,8
214,16,17,2586,2579,7
215,9,10,2595,2589,6
216,10,7,2605,2596,9
217,9,11,2614,2607,7
218,18,14,2632,2621,11
219,12,15,2644,2636,8
220,9,12,2653,2648,5
221,15,7,2668,2655,13
222,13,14,2681,2669,12
223,10,13,2691,2682,9
224,13,8,2704,2690,14
225,14,12,2718,2702,16
226,12,16,2730,2718,12
227,10,11,2740,2729,11
228,12,12,2752,2741,11
229,12,10,2764,2751,13
230,11,12,2775,2763,12
231,13,12,2788,2775,13
232,11,17,2799,2792,7
233,13,10,2812,2802,10
234,11,11,2823,2813,10
235,10,11,2833,2824,9
236,16,16,2849,2840,9
237,12,11,2861,2851,10
238,7,6,2868,2857,11
239,10,12,2878,2869,9
240,16,14,2894,2883,11
241,17,12,2911,2895,16
242,8,16,2919,2911,8
243,13,9,2932,2920,12
244,9,12,2941,2932,9
245,11,9,2952,2941,11
246,14,12,2966,2953,13
247,14,13,2980,2966,14
248,10,10,2990,2976,14
249,11,12,3001,2988,13
250,11,15,3012,3003,9
251,14,14,3026,3017,9
252,11,7,3037,3024,13
253,12,14,3049,3038,11
254,12,15,3061,3053,8
255,13,11,3074,3064,10
256,13,14,3087,3078,9
257,14,11,3101,3089,12
258,10,15,3111,3104,7
259,12,11,3123,3115,8
260,10,11,3133,3126,7
261,12,10,3145,3136,9
262,12,16,3157,3152,5
263,14,8,3171,3160,11
264,9,10,3180,3170,10
265,17,17,3197,3187,10
266,8,11,3205,3198,7
267,12,9,3217,3207,10
268,11,10,3228,3217,11
269,11,12,3239,3229,10
270,10,10,3249,3239,10
271,14,17,3263,3256,7
272,19,14,3282,3270,12
273,11,12,3293,3282,11
274,9,11,3302,3293,9
275,15,11,3317,3304,13
276,10,12,3327,3316,11
277,11,13,3338,3329,9
278,10,14,3348,3343,5
279,12,16,3360,3359,1
280,13,8,3373,3367,6
281,14,12,3387,3379,8
282,9,9,3396,3388,8
283,15,13,3411,3401,10
284,13,11,3424,3412,12
285,9,10,3433,3422,11
286,12,11,3445,3433,12
287,10,16,3455,3449,6
