view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,4,2,4,2,2
1,2,0,6,2,4
2,2,1,8,3,5
3,3,7,11,10,1
4,3,4,14,14,0
5,4,2,18,16,2
6,2,2,20,18,2
7,6,5,26,23,3
8,4,5,30,28,2
9,6,6,36,34,2
10,3,3,39,37,2
11,4,3,43,40,3
12,2,1,45,41,4
13,5,4,50,45,5
14,3,7,53,52,1
15,5,3,58,55,3
16,6,3,64,58,6
17,4,4,68,62,6
18,3,5,71,67,4
19,2,4,73,71,2
20,5,4,78,75,3
21,5,3,83,78,5
22,4,5,87,83,4
23,2,3,89,86,3
24,4,5,93,91,2
25,3,3,96,94,2
26,4,6,100,100,0
27,7,2,107,102,5
28,2,5,109,107,2
29,5,3,114,110,4
30,6,4,120,114,6
31,3,4,123,118,5
32,3,4,126,122,4
33,5,3,131,125,6
34,5,5,136,130,6
35,2,7,138,137,1
36,4,3,142,140,2
37,4,1,146,141,5
38,5,5,151,146,5
39,2,5,153,151,2
40,5,5,158,156,2
41,4,3,162,159,3
42,3,2,165,161,4
43,8,6,173,167,6
44,3,6,176,173,3
45,3,3,179,176,3
46,4,6,183,182,1
47,3,1,186,183,3
48,7,2,193,185,8
49,4,6,197,191,6
50,2,3,199,194,5
51,4,4,203,198,5
52,5,4,208,202,6
53,2,5,210,207,3
54,5,5,215,212,3
55,4,4,219,216,3
56,3,3,222,219,3
57,4,2,226,221,5
58,3,6,229,227,2
59,5,4,234,231,3
60,4,2,238,233,5
61,6,6,244,239,5
62,3,3,247,242,5
63,2,3,249,245,4
64,5,5,254,250,4
65,4,5,258,255,3
66,4,3,262,258,4
67,4,5,266,263,3
68,4,3,270,266,4
69,2,5,272,271,1
70,4,4,276,275,1
71,5,2,281,277,4
72,5,6,286,283,3
73,5,5,291,288,3
74,4,1,295,289,6
75,4,6,299,295,4
76,3,2,302,297,5
77,4,5,306,302,4
78,3,5,309,307,2
79,6,4,315,311,4
80,3,4,318,315,3
81,4,4,322,319,3
82,6,2,328,321,7
83,4,4,332,325,7
84,4,7,336,332,4
85,3,3,339,335,4
