view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,541,413,541,413,128
1,2,5,543,418,125
2,3,5,546,423,123
3,5,6,551,429,122
4,2,5,553,434,119
5,3,2,556,436,120
6,2,6,558,442,116
7,2,1,560,443,117
8,6,5,566,448,118
9,3,2,569,450,119
10,2,1,571,451,120
11,5,4,576,455,121
12,2,3,578,458,120
13,3,3,581,461,120
14,3,4,584,465,119
15,1,3,585,468,117
16,2,5,587,473,114
17,4,1,591,474,117
18,3,4,594,478,116
19,3,3,597,481,116
20,3,4,600,485,115
21,4,6,604,491,113
22,5,3,609,494,115
23,3,1,612,495,117
24,1,2,613,497,116
25,5,4,618,501,117
26,5,5,623,506,117
27,2,3,625,509,116
28,2,3,627,512,115
29,4,3,631,515,116
30,3,3,634,518,116
31,1,1,635,519,116
32,3,4,638,523,115
33,3,4,641,527,114
34,3,3,644,530,114
35,2,2,646,532,114
36,4,4,650,536,114
37,2,2,652,538,114
38,4,3,656,541,115
39,3,3,659,544,115
40,3,2,662,546,116
41,7,4,669,550,119
42,2,1,671,551,120
43,5,6,676,557,119
44,3,1,679,558,121
45,2,5,681,563,118
46,6,3,687,566,121
47,2,2,689,568,121
48,4,4,693,572,121
49,2,3,695,575,120
50,3,2,698,577,121
51,2,2,700,579,121
52,3,3,703,582,121
53,2,5,705,587,118
54,5,2,710,589,121
55,5,3,715,592,123
56,1,4,716,596,120
57,3,1,719,597,122
58,0,2,719,599,120
59,4,5,723,604,119
60,2,3,725,607,118
61,7,6,732,613,119
62,3,4,735,617,118
63,1,3,736,620,116
64,3,3,739,623,116
65,2,2,741,625,116
66,3,3,744,628,116
67,3,4,747,632,115
68,2,1,749,633,116
69,5,4,754,637,117
70,3,3,757,640,117
71,2,3,759,643,116
72,4,3,763,646,117
73,3,5,766,651,115
74,4,3,770,654,116
75,3,1,773,655,118
76,2,3,775,658,117
77,2,0,777,658,119
78,3,6,780,664,116
79,5,2,785,666,119
80,3,4,788,670,118
81,3,2,791,672,119
82,3,5,794,677,117
83,0,4,794,681,113
84,4,3,798,684,114
85,5,5,803,689,114
86,2,7,805,696,109
87,4,4,809,700,109
88,4,1,813,701,112
89,3,1,816,702,114
90,3,4,819,706,113
91,2,3,821,709,112
92,2,4,823,713,110
93,2,4,825,717,108
94,3,3,828,720,108
95,3,4,831,724,107
96,5,1,836,725,111
97,3,5,839,730,109
98,2,2,841,732,109
99,4,2,845,734,111
100,3,3,848,737,111
101,1,1,849,738,111
102,3,5,852,743,109
103,3,1,855,744,111
104,5,4,860,748,112
105,1,3,861,751,110
106,4,4,865,755,110
107,3,1,868,756,112
