view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,31,30,31,30,1
1,3,3,34,33,1
2,3,2,37,35,2
3,4,5,41,40,1
4,5,4,46,44,2
5,5,3,51,47,4
6,4,6,55,53,2
7,3,4,58,57,1
8,3,2,61,59,2
9,6,3,67,62,5
10,4,3,71,65,6
11,3,5,74,70,4
12,5,4,79,74,5
13,2,6,81,80,1
14,4,2,85,82,3
15,5,6,90,88,2
16,6,4,96,92,4
17,5,4,101,96,5
18,2,4,103,100,3
19,5,4,108,104,4
20,2,3,110,107,3
21,2,5,112,112,0
22,5,2,117,114,3
23,4,5,121,119,2
24,6,3,127,122,5
25,3,4,130,126,4
26,2,6,132,132,0
27,6,2,138,134,4
28,1,5,139,139,0
29,4,4,143,143,0
30,5,5,148,148,0
31,6,4,154,152,2
32,4,6,158,158,0
33,2,2,160,160,0
34,5,1,165,161,4
35,4,6,169,167,2
36,5,3,174,170,4
37,3,6,177,176,1
38,4,2,181,178,3
39,2,4,183,182,1
40,6,5,189,187,2
41,3,4,192,191,1
42,6,4,198,195,3
43,4,3,202,198,4
44,2,5,204,203,1
45,3,2,207,205,2
46,4,5,211,210,1
47,6,5,217,215,2
48,4,3,221,218,3
49,5,5,226,223,3
50,5,6,231,229,2
51,3,2,234,231,3
52,4,3,238,234,4
53,5,4,243,238,5
54,3,6,246,244,2
55,3,3,249,247,2
56,4,5,253,252,1
57,2,3,255,255,0
58,5,5,260,260,0
59,3,3,263,263,0
60,6,4,269,267,2
61,3,3,272,270,2
62,4,4,276,274,2
63,3,3,279,277,2
64,6,5,285,282,3
65,4,3,289,285,4
66,2,3,291,288,3
67,3,6,294,294,0
68,6,4,300,298,2
69,4,3,304,301,3
70,7,4,311,305,6
71,1,6,312,311,1
72,5,3,317,314,3
73,4,3,321,317,4
74,4,6,325,323,2
75,3,1,328,324,4
76,5,6,333,330,3
77,1,6,334,336,-2
78,5,3,339,339,0
79,5,4,344,343,1
80,3,3,347,346,1
81,4,3,351,349,2
82,3,5,354,354,0
83,5,5,359,359,0
84,7,2,366,361,5
85,4,2,370,363,7
86,2,6,372,369,3
87,4,4,376,373,3
88,4,3,380,376,4
89,3,5,383,381,2
90,5,3,388,384,4
91,5,6,393,390,3
92,4,1,397,391,6
93,2,4,399,395,4
94,6,5,405,400,5
95,3,4,408,404,4
96,4,3,412,407,5
97,8,4,420,411,9
98,2,5,422,416,6
99,3,3,425,419,6
100,4,5,429,424,5
101,5,3,434,427,7
102,3,5,437,432,5
103,4,3,441,435,6
104,4,3,445,438,7
105,3,5,448,443,5
106,6,5,454,448,6
107,1,4,455,452,3
108,4,4,459,456,3
109,5,4,464,460,4
110,2,3,466,463,3
111,7,5,473,468,5
112,2,5,475,473,2
113,3,5,478,478,0
114,6,3,484,481,3
115,4,4,488,485,3
116,4,3,492,488,4
117,3,4,495,492,3
118,5,4,500,496,4
119,4,5,504,501,3
120,4,5,508,506,2
121,4,4,512,510,2
122,4,2,516,512,4
123,5,4,521,516,5
124,3,5,524,521,3
125,4,3,528,524,4
126,5,4,533,528,5
127,5,4,538,532,6
128,2,4,540,536,4
129,4,4,544,540,4
130,4,2,548,542,6
131,3,5,551,547,4
132,6,8,557,555,2
133,6,4,563,559,4
134,1,3,564,562,2
135,2,1,566,563,3
136,6,5,572,568,4
137,4,3,576,571,5
138,3,4,579,575,4
139,4,3,583,578,5
140,3,5,586,583,3
141,6,3,592,586,6
142,5,5,597,591,6
143,2,4,599,595,4
144,4,4,603,599,4
145,2,6,605,605,0
146,7,2,612,607,5
147,4,3,616,610,6
148,4,7,620,617,3
149,4,3,624,620,4
150,4,4,628,624,4
151,2,3,630,627,3
152,4,4,634,631,3
153,6,4,640,635,5
154,4,4,644,639,5
155,5,4,649,643,6
156,5,4,654,647,7
157,2,4,656,651,5
158,5,4,661,655,6
159,3,4,664,659,5
160,2,5,666,664,2
161,7,5,673,669,4
162,4,4,677,673,4
163,4,4,681,677,4
164,5,3,686,680,6
165,2,3,688,683,5
166,2,5,690,688,2
167,7,7,697,695,2
168,3,2,700,697,3
169,3,3,703,700,3
170,4,3,707,703,4
171,3,6,710,709,1
172,5,3,715,712,3
173,4,1,719,713,6
174,3,6,722,719,3
175,4,4,726,723,3
176,5,4,731,727,4
177,5,4,736,731,5
178,5,3,741,734,7
179,3,5,744,739,5
180,4,4,748,743,5
181,3,3,751,746,5
182,3,4,754,750,4
183,4,4,758,754,4
184,5,6,763,760,3
185,4,4,767,764,3
186,3,5,770,769,1
187,3,3,773,772,1
188,7,2,780,774,6
189,2,9,782,783,-1
190,6,3,788,786,2
191,4,3,792,789,3
192,3,4,795,793,2
193,4,3,799,796,3
194,2,3,801,799,2
195,5,3,806,802,4
196,4,6,810,808,2
197,4,3,814,811,3
198,5,4,819,815,4
199,2,3,821,818,3
200,5,6,826,824,2
201,4,1,830,825,5
202,6,6,836,831,5
203,3,4,839,835,4
204,3,4,842,839,3
205,5,6,847,845,2
206,3,3,850,848,2
207,5,3,855,851,4
208,5,6,860,857,3
209,2,4,862,861,1
210,6,4,868,865,3
211,1,4,869,869,0
212,6,2,875,871,4
213,5,3,880,874,6
214,3,4,883,878,5
215,3,6,886,884,2
216,6,3,892,887,5
217,5,3,897,890,7
218,1,6,898,896,2
219,7,4,905,900,5
220,2,4,907,904,3
221,2,2,909,906,3
222,6,3,915,909,6
223,4,6,919,915,4
224,4,5,923,920,3
225,3,5,926,925,1
226,6,2,932,927,5
227,1,4,933,931,2
228,6,5,939,936,3
229,5,3,944,939,5
230,3,3,947,942,5
231,3,7,950,949,1
232,5,4,955,953,2
233,4,3,959,956,3
234,3,3,962,959,3
235,5,4,967,963,4
236,5,6,972,969,3
237,2,3,974,972,2
238,4,6,978,978,0
239,6,3,984,981,3
240,3,4,987,985,2
241,2,2,989,987,2
242,6,6,995,993,2
243,1,2,996,995,1
244,5,5,1001,1000,1
245,7,4,1008,1004,4
246,2,3,1010,1007,3
247,3,4,1013,1011,2
248,5,6,1018,1017,1
249,2,3,1020,1020,0
250,7,3,1027,1023,4
251,3,4,1030,1027,3
252,4,7,1034,1034,0
253,4,1,1038,1035,3
254,4,5,1042,1040,2
255,3,4,1045,1044,1
256,5,1,1050,1045,5
257,4,6,1054,1051,3
258,3,4,1057,1055,2
259,3,5,1060,1060,0
260,6,4,1066,1064,2
261,5,3,1071,1067,4
262,4,4,1075,1071,4
263,4,5,1079,1076,3
264,4,4,1083,1080,3
265,3,5,1086,1085,1
266,2,4,1088,1089,-1
267,4,3,1092,1092,0
268,5,5,1097,1097,0
269,5,4,1102,1101,1
270,4,4,1106,1105,1
271,3,2,1109,1107,2
272,3,5,1112,1112,0
273,3,3,1115,1115,0
274,7,3,1122,1118,4
275,2,6,1124,1124,0
276,6,5,1130,1129,1
277,6,4,1136,1133,3
278,1,3,1137,1136,1
279,5,3,1142,1139,3
280,4,5,1146,1144,2
281,2,5,1148,1149,-1
282,4,2,1152,1151,1
283,4,6,1156,1157,-1
284,5,5,1161,1162,-1
285,7,3,1168,1165,3
286,4,3,1172,1168,4
287,2,4,1174,1172,2
288,2,5,1176,1177,-1
289,5,3,1181,1180,1
290,4,4,1185,1184,1
291,5,5,1190,1189,1
292,4,2,1194,1191,3
293,4,6,1198,1197,1
294,3,3,1201,1200,1
295,5,6,1206,1206,0
296,5,3,1211,1209,2
297,2,4,1213,1213,0
298,4,4,1217,1217,0
299,6,2,1223,1219,4
300,1,8,1224,1227,-3
301,5,3,1229,1230,-1
302,2,4,1231,1234,-3
303,5,2,1236,1236,0
304,5,3,1241,1239,2
305,5,6,1246,1245,1
306,4,4,1250,1249,1
307,5,3,1255,1252,3
308,2,1,1257,1253,4
309,4,7,1261,1260,1
310,4,5,1265,1265,0
311,4,4,1269,1269,0
312,5,6,1274,1275,-1
313,5,2,1279,1277,2
314,3,3,1282,1280,2
315,3,3,1285,1283,2
316,6,3,1291,1286,5
317,2,5,1293,1291,2
318,4,6,1297,1297,0
319,3,3,1300,1300,0
320,5,4,1305,1304,1
321,4,4,1309,1308,1
322,6,5,1315,1313,2
323,3,3,1318,1316,2
324,3,5,1321,1321,0
325,3,2,1324,1323,1
326,3,5,1327,1328,-1
327,5,3,1332,1331,1
328,4,6,1336,1337,-1
329,5,3,1341,1340,1
330,2,4,1343,1344,-1
331,5,4,1348,1348,0
332,4,4,1352,1352,0
333,6,3,1358,1355,3
334,4,4,1362,1359,3
335,1,5,1363,1364,-1
336,7,4,1370,1368,2
337,3,4,1373,1372,1
338,2,6,1375,1378,-3
339,4,1,1379,1379,0
340,7,5,1386,1384,2
341,3,4,1389,1388,1
342,3,2,1392,1390,2
343,4,5,1396,1395,1
344,5,5,1401,1400,1
345,4,3,1405,1403,2
346,3,4,1408,1407,1
347,6,6,1414,1413,1
348,5,4,1419,1417,2
349,2,3,1421,1420,1
350,4,3,1425,1423,2
351,5,5,1430,1428,2
