view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,98,93,98,93,5
1,0,1,98,94,4
2,1,3,99,97,2
3,1,4,100,101,-1
4,0,3,100,104,-4
20,2,2,102,106,-4
21,2,0,104,106,-2
41,4,0,108,106,2
62,0,4,108,110,-2
84,0,2,108,112,-4
85,0,2,108,114,-6
115,1,0,109,114,-5
116,1,0,110,114,-4
141,2,0,112,114,-2
142,1,0,113,114,-1
143,2,0,115,114,1
172,1,0,116,114,2
173,1,0,117,114,3
221,2,0,119,114,5
241,2,0,121,114,7
242,4,0,125,114,11
306,0,1,125,115,10
307,0,1,125,116,9
396,0,2,125,118,7
397,0,2,125,120,5
407,3,0,128,120,8
512,2,0,130,120,10
540,0,1,130,121,9
541,0,1,130,122,8
544,0,1,130,123,7
545,0,5,130,128,2
563,2,0,132,128,4
603,0,2,132,130,2
650,2,0,134,130,4
785,2,0,136,130,6
868,0,2,136,132,4
871,0,2,136,134,2
893,0,1,136,135,1
895,0,3,136,138,-2
896,2,2,138,140,-2
897,5,6,143,146,-3
898,0,5,143,151,-8
899,0,8,143,159,-16
900,0,9,143,168,-25
901,0,3,143,171,-28
902,0,11,143,182,-39
903,0,4,143,186,-43
904,0,5,143,191,-48
905,0,4,143,195,-52
906,0,6,143,201,-58
907,0,6,143,207,-64
908,0,3,143,210,-67
909,0,6,143,216,-73
910,0,7,143,223,-80
911,0,7,143,230,-87
912,0,7,143,237,-94
914,0,2,143,239,-96
915,0,1,143,240,-97
917,0,1,143,241,-98
918,0,2,143,243,-100
920,0,1,143,244,-101
922,0,3,143,247,-104
923,0,1,143,248,-105
924,0,2,143,250,-107
975,1,0,144,250,-106
1120,0,6,144,256,-112
1121,0,4,144,260,-116
1122,0,4,144,264,-120
1123,0,5,144,269,-125
1124,0,3,144,272,-128
1210,2,0,146,272,-126
1528,2,0,148,272,-124
1555,1,0,149,272,-123
1557,1,0,150,272,-122
1643,1,0,151,272,-121
1644,1,0,152,272,-120
1645,2,0,154,272,-118
1711,2,0,156,272,-116
1713,2,0,158,272,-114
1750,2,0,160,272,-112
1752,1,0,161,272,-111
1753,1,0,162,272,-110
1764,2,0,164,272,-108
2020,2,0,166,272,-106
2075,2,0,168,272,-104
2076,4,0,172,272,-100
2188,1,0,173,272,-99
2189,1,0,174,272,-98
2191,2,0,176,272,-96
2249,2,0,178,272,-94
2250,3,0,181,272,-91
2365,2,0,183,272,-89
2414,1,0,184,272,-88
2415,1,0,185,272,-87
2427,1,0,186,272,-86
2428,1,0,187,272,-85
2487,1,0,188,272,-84
2488,1,0,189,272,-83
2551,3,0,192,272,-80
2552,2,0,194,272,-78
2611,1,0,195,272,-77
2612,3,0,198,272,-74
2676,2,0,200,272,-72
2743,2,0,202,272,-70
2744,2,0,204,272,-68
2812,1,0,205,272,-67
2813,1,0,206,272,-66
2880,1,0,207,272,-65
2881,1,0,208,272,-64
2951,2,0,210,272,-62
3089,1,0,211,272,-61
3092,1,0,212,272,-60
3123,3,0,215,272,-57
3124,3,0,218,272,-54
3163,5,0,223,272,-49
3164,1,0,224,272,-48
3309,3,0,227,272,-45
3310,1,0,228,272,-44
3312,1,0,229,272,-43
3385,2,0,231,272,-41
3386,2,0,233,272,-39
3459,1,0,234,272,-38
3460,2,0,236,272,-36
3461,1,0,237,272,-35
3537,2,0,239,272,-33
3543,2,0,241,272,-31
3544,1,0,242,272,-30
3569,1,0,243,272,-29
3570,1,0,244,272,-28
3608,2,0,246,272,-26
3610,3,0,249,272,-23
3611,2,0,251,272,-21
3687,1,0,252,272,-20
3688,6,0,258,272,-14
3689,4,0,262,272,-10
3690,7,0,269,272,-3
3691,3,0,272,272,0
3692,5,0,277,272,5
3693,3,0,280,272,8
3694,3,0,283,272,11
3695,4,0,287,272,15
3696,4,0,291,272,19
3697,5,0,296,272,24
3698,4,0,300,272,28
3699,5,0,305,272,33
3700,5,0,310,272,38
3701,4,0,314,272,42
3702,7,0,321,272,49
3703,4,0,325,272,53
3704,3,0,328,272,56
3705,5,0,333,272,61
3706,5,0,338,272,66
3707,8,0,346,272,74
3708,3,0,349,272,77
3709,3,0,352,272,80
3710,4,0,356,272,84
3711,5,0,361,272,89
3712,4,0,365,272,93
3713,5,0,370,272,98
3714,4,0,374,272,102
3715,3,0,377,272,105
unknown,5,8,,,
