view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,41,36,41,36,5
1,4,4,45,40,5
2,4,2,49,42,7
3,6,3,55,45,10
4,4,6,59,51,8
5,3,7,62,58,4
6,5,2,67,60,7
7,3,2,70,62,8
8,3,4,73,66,7
9,3,7,76,73,3
10,3,2,79,75,4
11,7,7,86,82,4
12,2,1,88,83,5
13,7,5,95,88,7
14,4,3,99,91,8
15,2,6,101,97,4
16,2,5,103,102,1
17,4,4,107,106,1
18,5,5,112,111,1
19,6,4,118,115,3
20,2,2,120,117,3
21,5,5,125,122,3
22,3,3,128,125,3
23,5,2,133,127,6
24,4,5,137,132,5
25,3,6,140,138,2
26,2,3,142,141,1
27,6,3,148,144,4
28,5,4,153,148,5
29,4,3,157,151,6
30,1,5,158,156,2
31,5,3,163,159,4
32,3,6,166,165,1
33,6,4,172,169,3
34,1,4,173,173,0
35,7,2,180,175,5
36,8,6,188,181,7
37,1,6,189,187,2
38,3,2,192,189,3
39,7,1,199,190,9
40,3,6,202,196,6
41,3,6,205,202,3
42,3,4,208,206,2
43,2,3,210,209,1
44,5,4,215,213,2
45,5,4,220,217,3
46,6,3,226,220,6
47,3,4,229,224,5
48,4,5,233,229,4
49,2,3,235,232,3
50,4,4,239,236,3
51,4,6,243,242,1
52,4,5,247,247,0
53,8,3,255,250,5
54,1,3,256,253,3
55,4,2,260,255,5
56,3,4,263,259,4
57,3,5,266,264,2
58,7,3,273,267,6
59,6,7,279,274,5
60,3,3,282,277,5
61,3,3,285,280,5
62,5,5,290,285,5
63,3,4,293,289,4
64,3,4,296,293,3
65,6,4,302,297,5
66,2,5,304,302,2
67,6,1,310,303,7
68,2,5,312,308,4
69,5,5,317,313,4
70,3,4,320,317,3
71,4,3,324,320,4
72,2,6,326,326,0
73,7,3,333,329,4
74,4,5,337,334,3
75,3,2,340,336,4
76,6,4,346,340,6
77,2,3,348,343,5
78,3,5,351,348,3
79,5,4,356,352,4
80,5,5,361,357,4
81,3,5,364,362,2
82,1,2,365,364,1
83,5,4,370,368,2
84,8,3,378,371,7
85,2,7,380,378,2
86,5,2,385,380,5
87,3,4,388,384,4
88,5,5,393,389,4
89,7,0,400,389,11
90,2,7,402,396,6
91,1,2,403,398,5
92,5,7,408,405,3
93,3,5,411,410,1
94,3,2,414,412,2
95,5,7,419,419,0
96,6,1,425,420,5
97,1,6,426,426,0
98,4,5,430,431,-1
99,4,2,434,433,1
100,6,2,440,435,5
101,3,6,443,441,2
102,4,3,447,444,3
103,4,2,451,446,5
104,6,6,457,452,5
105,3,5,460,457,3
106,4,2,464,459,5
107,3,4,467,463,4
108,7,5,474,468,6
109,4,5,478,473,5
110,3,3,481,476,5
111,2,3,483,479,4
112,5,5,488,484,4
113,6,4,494,488,6
114,4,5,498,493,5
115,3,4,501,497,4
116,2,4,503,501,2
117,5,2,508,503,5
118,5,4,513,507,6
119,2,6,515,513,2
120,3,4,518,517,1
121,6,4,524,521,3
122,8,5,532,526,6
123,1,4,533,530,3
124,2,3,535,533,2
125,3,5,538,538,0
126,3,3,541,541,0
127,7,3,548,544,4
128,3,2,551,546,5
129,4,5,555,551,4
130,3,5,558,556,2
131,5,5,563,561,2
132,4,5,567,566,1
133,5,3,572,569,3
134,3,3,575,572,3
135,5,6,580,578,2
136,3,3,583,581,2
137,4,5,587,586,1
138,2,5,589,591,-2
139,5,2,594,593,1
140,5,5,599,598,1
141,4,4,603,602,1
142,4,2,607,604,3
143,4,5,611,609,2
144,4,2,615,611,4
145,5,7,620,618,2
146,4,3,624,621,3
147,3,2,627,623,4
148,5,6,632,629,3
149,3,3,635,632,3
150,5,3,640,635,5
151,2,5,642,640,2
152,7,5,649,645,4
153,2,5,651,650,1
154,6,4,657,654,3
155,2,5,659,659,0
156,4,3,663,662,1
157,5,2,668,664,4
158,2,3,670,667,3
159,3,5,673,672,1
160,7,6,680,678,2
161,6,5,686,683,3
162,3,2,689,685,4
163,1,5,690,690,0
164,5,3,695,693,2
165,3,2,698,695,3
166,8,6,706,701,5
167,2,2,708,703,5
168,5,8,713,711,2
169,2,3,715,714,1
170,5,3,720,717,3
171,4,1,724,718,6
172,5,5,729,723,6
173,0,3,729,726,3
174,6,6,735,732,3
175,6,4,741,736,5
176,4,5,745,741,4
177,1,5,746,746,0
178,4,2,750,748,2
179,4,3,754,751,3
180,5,6,759,757,2
181,6,4,765,761,4
182,4,5,769,766,3
183,2,2,771,768,3
184,6,5,777,773,4
185,3,5,780,778,2
186,3,2,783,780,3
187,3,4,786,784,2
188,6,2,792,786,6
189,3,2,795,788,7
190,4,6,799,794,5
191,4,4,803,798,5
192,3,5,806,803,3
193,7,3,813,806,7
194,3,3,816,809,7
195,5,6,821,815,6
196,3,4,824,819,5
197,4,4,828,823,5
198,3,4,831,827,4
199,6,6,837,833,4
200,4,4,841,837,4
201,3,2,844,839,5
202,5,5,849,844,5
203,3,3,852,847,5
204,2,6,854,853,1
205,4,3,858,856,2
206,6,5,864,861,3
207,6,3,870,864,6
208,3,3,873,867,6
209,1,3,874,870,4
210,6,8,880,878,2
211,3,4,883,882,1
212,4,4,887,886,1
213,4,3,891,889,2
214,4,3,895,892,3
215,3,5,898,897,1
216,7,4,905,901,4
217,2,5,907,906,1
218,5,2,912,908,4
219,6,4,918,912,6
220,2,3,920,915,5
221,3,6,923,921,2
222,3,3,926,924,2
223,6,6,932,930,2
224,3,3,935,933,2
225,4,4,939,937,2
226,3,3,942,940,2
227,7,4,949,944,5
228,4,4,953,948,5
229,2,4,955,952,3
230,3,5,958,957,1
231,6,3,964,960,4
232,2,6,966,966,0
233,4,1,970,967,3
234,5,5,975,972,3
235,4,6,979,978,1
236,3,1,982,979,3
237,7,3,989,982,7
238,2,5,991,987,4
239,3,5,994,992,2
240,4,4,998,996,2
241,4,3,1002,999,3
242,3,5,1005,1004,1
243,6,3,1011,1007,4
244,5,7,1016,1014,2
245,2,3,1018,1017,1
246,2,4,1020,1021,-1
247,6,3,1026,1024,2
248,4,5,1030,1029,1
249,4,4,1034,1033,1
250,3,2,1037,1035,2
251,5,6,1042,1041,1
252,6,3,1048,1044,4
253,1,2,1049,1046,3
254,6,6,1055,1052,3
255,3,4,1058,1056,2
256,5,4,1063,1060,3
257,3,3,1066,1063,3
258,3,5,1069,1068,1
259,4,4,1073,1072,1
260,7,5,1080,1077,3
261,3,2,1083,1079,4
262,3,6,1086,1085,1
263,3,4,1089,1089,0
264,4,3,1093,1092,1
265,3,4,1096,1096,0
266,7,2,1103,1098,5
267,2,7,1105,1105,0
268,3,5,1108,1110,-2
269,5,3,1113,1113,0
270,3,3,1116,1116,0
271,7,4,1123,1120,3
272,1,4,1124,1124,0
273,5,2,1129,1126,3
274,4,9,1133,1135,-2
275,4,3,1137,1138,-1
276,4,4,1141,1142,-1
277,3,3,1144,1145,-1
278,4,4,1148,1149,-1
279,5,4,1153,1153,0
280,2,3,1155,1156,-1
281,6,5,1161,1161,0
282,3,1,1164,1162,2
283,5,7,1169,1169,0
284,6,3,1175,1172,3
285,3,7,1178,1179,-1
286,4,2,1182,1181,1
287,3,4,1185,1185,0
288,6,2,1191,1187,4
289,1,3,1192,1190,2
290,4,6,1196,1196,0
291,6,5,1202,1201,1
292,4,4,1206,1205,1
293,3,3,1209,1208,1
294,4,5,1213,1213,0
295,4,2,1217,1215,2
296,4,5,1221,1220,1
297,3,5,1224,1225,-1
298,4,3,1228,1228,0
299,5,3,1233,1231,2
300,1,2,1234,1233,1
301,7,5,1241,1238,3
302,4,4,1245,1242,3
303,5,5,1250,1247,3
304,5,5,1255,1252,3
305,4,5,1259,1257,2
306,3,2,1262,1259,3
307,3,7,1265,1266,-1
308,4,2,1269,1268,1
309,5,1,1274,1269,5
310,4,4,1278,1273,5
311,5,6,1283,1279,4
312,4,4,1287,1283,4
313,2,4,1289,1287,2
314,4,4,1293,1291,2
315,8,5,1301,1296,5
316,2,2,1303,1298,5
317,3,2,1306,1300,6
318,1,4,1307,1304,3
319,7,6,1314,1310,4
320,5,3,1319,1313,6
321,4,6,1323,1319,4
322,2,4,1325,1323,2
323,4,2,1329,1325,4
324,4,8,1333,1333,0
325,3,3,1336,1336,0
326,3,1,1339,1337,2
327,6,5,1345,1342,3
328,5,4,1350,1346,4
329,3,3,1353,1349,4
330,4,5,1357,1354,3
331,2,3,1359,1357,2
332,5,5,1364,1362,2
333,6,3,1370,1365,5
334,1,6,1371,1371,0
335,4,3,1375,1374,1
336,3,5,1378,1379,-1
337,5,3,1383,1382,1
338,3,6,1386,1388,-2
339,6,3,1392,1391,1
340,7,3,1399,1394,5
341,2,3,1401,1397,4
342,6,5,1407,1402,5
343,2,5,1409,1407,2
344,3,3,1412,1410,2
345,1,5,1413,1415,-2
346,6,3,1419,1418,1
347,5,3,1424,1421,3
348,4,5,1428,1426,2
349,4,5,1432,1431,1
350,7,4,1439,1435,4
351,2,6,1441,1441,0
352,4,0,1445,1441,4
353,3,7,1448,1448,0
354,4,1,1452,1449,3
355,5,3,1457,1452,5
356,4,4,1461,1456,5
357,5,3,1466,1459,7
358,3,9,1469,1468,1
359,3,3,1472,1471,1
360,5,2,1477,1473,4
361,2,3,1479,1476,3
362,5,5,1484,1481,3
363,4,4,1488,1485,3
364,3,6,1491,1491,0
365,6,1,1497,1492,5
366,2,5,1499,1497,2
367,7,6,1506,1503,3
368,3,6,1509,1509,0
369,5,1,1514,1510,4
370,4,4,1518,1514,4
371,3,4,1521,1518,3
372,2,4,1523,1522,1
373,7,6,1530,1528,2
374,2,4,1532,1532,0
375,5,2,1537,1534,3
376,5,2,1542,1536,6
377,2,3,1544,1539,5
378,5,6,1549,1545,4
379,3,6,1552,1551,1
380,3,4,1555,1555,0
381,4,2,1559,1557,2
382,4,5,1563,1562,1
383,2,5,1565,1567,-2
384,8,3,1573,1570,3
385,4,6,1577,1576,1
386,5,1,1582,1577,5
387,2,5,1584,1582,2
388,5,6,1589,1588,1
389,3,3,1592,1591,1
390,6,4,1598,1595,3
391,4,4,1602,1599,3
392,2,1,1604,1600,4
393,4,6,1608,1606,2
394,4,4,1612,1610,2
395,3,4,1615,1614,1
396,4,4,1619,1618,1
397,5,4,1624,1622,2
398,5,4,1629,1626,3
399,5,4,1634,1630,4
400,3,4,1637,1634,3
401,5,3,1642,1637,5
402,2,7,1644,1644,0
403,3,5,1647,1649,-2
404,5,3,1652,1652,0
405,5,2,1657,1654,3
406,4,5,1661,1659,2
407,2,4,1663,1663,0
408,5,3,1668,1666,2
409,3,6,1671,1672,-1
410,6,2,1677,1674,3
411,4,4,1681,1678,3
412,3,6,1684,1684,0
413,4,1,1688,1685,3
414,4,7,1692,1692,0
415,4,3,1696,1695,1
416,6,7,1702,1702,0
417,5,1,1707,1703,4
418,2,3,1709,1706,3
419,6,8,1715,1714,1
420,4,0,1719,1714,5
421,2,4,1721,1718,3
422,2,4,1723,1722,1
423,5,5,1728,1727,1
424,5,5,1733,1732,1
425,3,1,1736,1733,3
426,4,3,1740,1736,4
427,6,7,1746,1743,3
428,1,3,1747,1746,1
429,6,4,1753,1750,3
430,4,4,1757,1754,3
431,3,5,1760,1759,1
432,5,4,1765,1763,2
433,2,3,1767,1766,1
434,5,6,1772,1772,0
435,5,3,1777,1775,2
436,5,3,1782,1778,4
437,3,2,1785,1780,5
438,6,5,1791,1785,6
439,1,4,1792,1789,3
440,4,1,1796,1790,6
441,4,6,1800,1796,4
442,4,5,1804,1801,3
443,4,3,1808,1804,4
444,4,5,1812,1809,3
445,4,4,1816,1813,3
446,4,6,1820,1819,1
447,3,3,1823,1822,1
448,7,5,1830,1827,3
449,4,3,1834,1830,4
450,3,3,1837,1833,4
451,3,4,1840,1837,3
452,4,2,1844,1839,5
453,4,4,1848,1843,5
454,4,5,1852,1848,4
455,5,5,1857,1853,4
456,3,6,1860,1859,1
457,6,3,1866,1862,4
458,1,2,1867,1864,3
459,6,6,1873,1870,3
460,4,2,1877,1872,5
461,4,3,1881,1875,6
462,2,5,1883,1880,3
463,3,6,1886,1886,0
464,5,2,1891,1888,3
465,7,6,1898,1894,4
466,4,2,1902,1896,6
467,4,4,1906,1900,6
468,2,10,1908,1910,-2
469,5,1,1913,1911,2
470,7,1,1920,1912,8
471,1,4,1921,1916,5
472,2,4,1923,1920,3
473,5,4,1928,1924,4
474,4,7,1932,1931,1
475,4,2,1936,1933,3
476,5,3,1941,1936,5
477,3,4,1944,1940,4
478,2,5,1946,1945,1
479,5,6,1951,1951,0
480,5,2,1956,1953,3
481,4,4,1960,1957,3
482,2,5,1962,1962,0
483,6,3,1968,1965,3
484,2,4,1970,1969,1
485,3,4,1973,1973,0
486,8,4,1981,1977,4
487,3,6,1984,1983,1
488,4,4,1988,1987,1
489,6,2,1994,1989,5
490,2,1,1996,1990,6
491,3,7,1999,1997,2
492,6,6,2005,2003,2
493,6,4,2011,2007,4
494,2,1,2013,2008,5
495,2,3,2015,2011,4
496,3,6,2018,2017,1
497,6,4,2024,2021,3
498,5,3,2029,2024,5
499,4,6,2033,2030,3
500,2,5,2035,2035,0
501,6,3,2041,2038,3
502,5,4,2046,2042,4
503,2,2,2048,2044,4
504,3,6,2051,2050,1
505,5,3,2056,2053,3
506,6,5,2062,2058,4
507,1,2,2063,2060,3
508,6,5,2069,2065,4
509,5,5,2074,2070,4
510,5,3,2079,2073,6
511,1,3,2080,2076,4
512,6,2,2086,2078,8
513,3,8,2089,2086,3
514,6,3,2095,2089,6
515,3,3,2098,2092,6
516,3,5,2101,2097,4
517,5,5,2106,2102,4
518,2,3,2108,2105,3
519,3,4,2111,2109,2
520,5,3,2116,2112,4
