view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,914,732,914,732,182
1,2,3,916,735,181
2,2,5,918,740,178
3,9,7,927,747,180
4,2,7,929,754,175
5,0,2,929,756,173
18,1,0,930,756,174
19,1,1,931,757,174
20,7,2,938,759,179
21,1,1,939,760,179
39,1,0,940,760,180
40,1,0,941,760,181
41,4,0,945,760,185
42,1,0,946,760,186
60,0,2,946,762,184
61,0,3,946,765,181
62,0,3,946,768,178
83,0,1,946,769,177
85,0,5,946,774,172
86,0,5,946,779,167
114,1,0,947,779,168
115,2,0,949,779,170
116,2,0,951,779,172
141,1,0,952,779,173
143,2,0,954,779,175
144,8,0,962,779,183
174,3,0,965,779,186
220,2,0,967,779,188
221,2,0,969,779,190
222,2,0,971,779,192
240,1,0,972,779,193
241,2,0,974,779,195
242,5,0,979,779,200
308,0,1,979,780,199
309,0,3,979,783,196
332,1,0,980,783,197
333,1,0,981,783,198
395,0,2,981,785,196
396,0,3,981,788,193
397,0,3,981,791,190
405,2,0,983,791,192
407,4,0,987,791,196
408,4,0,991,791,200
488,0,1,991,792,199
490,0,3,991,795,196
491,0,1,991,796,195
515,2,0,993,796,197
542,0,2,993,798,195
543,0,3,993,801,192
544,0,3,993,804,189
545,0,5,993,809,184
546,0,2,993,811,182
561,2,0,995,811,184
562,1,0,996,811,185
564,3,0,999,811,188
601,0,1,999,812,187
602,0,1,999,813,186
603,0,1,999,814,185
604,0,1,999,815,184
652,2,0,1001,815,186
653,3,0,1004,815,189
785,2,0,1006,815,191
787,2,0,1008,815,193
868,0,2,1008,817,191
870,0,3,1008,820,188
871,0,2,1008,822,186
893,0,1,1008,823,185
894,2,1,1010,824,186
895,1,2,1011,826,185
896,4,17,1015,843,172
897,7,16,1022,859,163
898,1,23,1023,882,141
899,0,23,1023,905,118
900,0,13,1023,918,105
901,0,18,1023,936,87
902,0,19,1023,955,68
903,0,18,1023,973,50
904,0,16,1023,989,34
905,0,15,1023,1004,19
906,0,12,1023,1016,7
907,0,22,1023,1038,-15
908,0,12,1023,1050,-27
909,0,13,1023,1063,-40
910,0,13,1023,1076,-53
911,0,18,1023,1094,-71
912,0,20,1023,1114,-91
913,0,11,1023,1125,-102
914,0,6,1023,1131,-108
915,0,6,1023,1137,-114
916,0,5,1023,1142,-119
917,0,1,1023,1143,-120
918,0,3,1023,1146,-123
920,0,1,1023,1147,-124
922,0,6,1023,1153,-130
923,0,4,1023,1157,-134
924,0,6,1023,1163,-140
925,0,4,1023,1167,-144
973,1,0,1024,1167,-143
975,4,0,1028,1167,-139
976,2,0,1030,1167,-137
1120,0,10,1030,1177,-147
1121,0,6,1030,1183,-153
1122,0,6,1030,1189,-159
1123,0,3,1030,1192,-162
1124,0,8,1030,1200,-170
1125,0,1,1030,1201,-171
1210,1,0,1031,1201,-170
1212,3,0,1034,1201,-167
1213,1,0,1035,1201,-166
1525,1,0,1036,1201,-165
1528,4,0,1040,1201,-161
1556,2,0,1042,1201,-159
1557,3,0,1045,1201,-156
1643,2,0,1047,1201,-154
1644,1,0,1048,1201,-153
1645,1,0,1049,1201,-152
1646,3,0,1052,1201,-149
1711,1,0,1053,1201,-148
1712,3,0,1056,1201,-145
1713,4,0,1060,1201,-141
1751,1,0,1061,1201,-140
1752,2,0,1063,1201,-138
1753,6,0,1069,1201,-132
1754,1,0,1070,1201,-131
1761,1,0,1071,1201,-130
1763,3,0,1074,1201,-127
1764,1,0,1075,1201,-126
2017,1,0,1076,1201,-125
2018,4,0,1080,1201,-121
2019,2,0,1082,1201,-119
2020,3,0,1085,1201,-116
2073,1,0,1086,1201,-115
2074,2,0,1088,1201,-113
2075,4,0,1092,1201,-109
2076,5,0,1097,1201,-104
2189,2,0,1099,1201,-102
2190,1,0,1100,1201,-101
2191,5,0,1105,1201,-96
2192,1,0,1106,1201,-95
2247,1,0,1107,1201,-94
2248,2,0,1109,1201,-92
2249,1,0,1110,1201,-91
2250,6,0,1116,1201,-85
2251,2,0,1118,1201,-83
2365,1,0,1119,1201,-82
2366,2,0,1121,1201,-80
2367,3,0,1124,1201,-77
2368,6,0,1130,1201,-71
2369,1,0,1131,1201,-70
