view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,17,13,17,13,4
1,3,4,20,17,3
2,5,6,25,23,2
3,2,3,27,26,1
4,7,5,34,31,3
5,1,4,35,35,0
6,5,3,40,38,2
7,5,6,45,44,1
8,4,4,49,48,1
9,2,3,51,51,0
10,7,6,58,57,1
11,3,4,61,61,0
12,4,2,65,63,2
13,3,6,68,69,-1
14,3,3,71,72,-1
15,5,5,76,77,-1
16,3,2,79,79,0
17,6,4,85,83,2
18,3,2,88,85,3
19,5,7,93,92,1
20,3,3,96,95,1
21,4,4,100,99,1
22,5,4,105,103,2
23,3,4,108,107,1
24,4,4,112,111,1
25,6,4,118,115,3
26,4,2,122,117,5
27,3,6,125,123,2
28,3,1,128,124,4
29,6,7,134,131,3
30,4,2,138,133,5
31,4,6,142,139,3
32,4,3,146,142,4
33,5,4,151,146,5
34,3,2,154,148,6
35,4,4,158,152,6
36,2,5,160,157,3
37,5,6,165,163,2
38,4,6,169,169,0
39,3,2,172,171,1
40,4,3,176,174,2
41,6,4,182,178,4
42,2,3,184,181,3
43,4,6,188,187,1
44,4,4,192,191,1
45,5,4,197,195,2
46,4,3,201,198,3
47,3,3,204,201,3
48,5,6,209,207,2
49,3,3,212,210,2
50,4,5,216,215,1
51,4,4,220,219,1
52,4,4,224,223,1
53,5,3,229,226,3
54,6,3,235,229,6
55,3,5,238,234,4
56,4,4,242,238,4
57,3,7,245,245,0
58,3,2,248,247,1
59,4,3,252,250,2
60,6,5,258,255,3
61,3,3,261,258,3
62,3,4,264,262,2
63,5,6,269,268,1
64,2,3,271,271,0
65,5,4,276,275,1
66,5,6,281,281,0
67,4,0,285,281,4
68,4,6,289,287,2
69,4,4,293,291,2
70,5,5,298,296,2
71,5,3,303,299,4
72,3,3,306,302,4
73,4,2,310,304,6
74,3,5,313,309,4
75,7,5,320,314,6
76,1,4,321,318,3
77,4,5,325,323,2
78,5,3,330,326,4
79,3,5,333,331,2
80,5,3,338,334,4
81,3,4,341,338,3
82,3,4,344,342,2
83,6,6,350,348,2
84,2,2,352,350,2
85,5,2,357,352,5
86,5,4,362,356,6
87,2,4,364,360,4
88,5,6,369,366,3
89,5,4,374,370,4
90,5,1,379,371,8
91,4,6,383,377,6
92,4,2,387,379,8
93,2,6,389,385,4
94,5,3,394,388,6
95,3,5,397,393,4
96,5,6,402,399,3
97,5,3,407,402,5
98,3,3,410,405,5
99,5,2,415,407,8
100,2,6,417,413,4
101,4,2,421,415,6
102,2,6,423,421,2
103,5,5,428,426,2
104,4,3,432,429,3
105,5,3,437,432,5
106,3,6,440,438,2
107,5,2,445,440,5
108,3,4,448,444,4
109,6,6,454,450,4
110,5,3,459,453,6
111,3,5,462,458,4
112,5,5,467,463,4
113,4,2,471,465,6
114,1,6,472,471,1
115,2,2,474,473,1
116,7,4,481,477,4
117,4,3,485,480,5
118,6,4,491,484,7
119,4,7,495,491,4
120,3,2,498,493,5
121,3,5,501,498,3
122,5,3,506,501,5
123,2,4,508,505,3
124,5,3,513,508,5
125,4,3,517,511,6
126,5,5,522,516,6
127,3,4,525,520,5
128,5,5,530,525,5
129,2,5,532,530,2
130,4,4,536,534,2
131,5,3,541,537,4
132,3,3,544,540,4
133,4,8,548,548,0
134,7,4,555,552,3
135,3,3,558,555,3
136,3,1,561,556,5
137,4,5,565,561,4
138,2,6,567,567,0
139,8,1,575,568,7
140,2,6,577,574,3
141,6,5,583,579,4
142,4,3,587,582,5
143,3,2,590,584,6
144,3,5,593,589,4
145,3,3,596,592,4
146,6,4,602,596,6
147,3,2,605,598,7
148,3,7,608,605,3
149,6,4,614,609,5
150,4,6,618,615,3
151,5,2,623,617,6
152,3,4,626,621,5
153,2,4,628,625,3
154,7,5,635,630,5
155,4,4,639,634,5
156,3,3,642,637,5
157,4,2,646,639,7
158,5,5,651,644,7
159,2,6,653,650,3
160,5,4,658,654,4
161,3,1,661,655,6
162,7,6,668,661,7
163,2,4,670,665,5
164,3,4,673,669,4
165,3,3,676,672,4
166,4,5,680,677,3
167,5,3,685,680,5
168,5,7,690,687,3
169,4,6,694,693,1
170,3,1,697,694,3
171,5,6,702,700,2
172,5,4,707,704,3
173,4,2,711,706,5
174,3,3,714,709,5
175,2,4,716,713,3
176,6,5,722,718,4
177,4,2,726,720,6
178,3,5,729,725,4
179,3,6,732,731,1
180,7,3,739,734,5
181,3,2,742,736,6
182,5,5,747,741,6
183,5,6,752,747,5
184,4,3,756,750,6
185,4,2,760,752,8
186,3,3,763,755,8
187,2,7,765,762,3
188,3,5,768,767,1
189,4,4,772,771,1
190,2,4,774,775,-1
191,6,3,780,778,2
192,6,3,786,781,5
193,2,4,788,785,3
194,3,3,791,788,3
195,5,6,796,794,2
196,4,4,800,798,2
197,5,5,805,803,2
198,4,4,809,807,2
199,5,2,814,809,5
200,2,4,816,813,3
201,5,6,821,819,2
202,6,3,827,822,5
203,2,4,829,826,3
204,5,4,834,830,4
205,5,4,839,834,5
206,1,3,840,837,3
207,5,4,845,841,4
208,4,4,849,845,4
209,5,5,854,850,4
210,2,3,856,853,3
211,5,3,861,856,5
212,2,7,863,863,0
213,5,3,868,866,2
214,4,2,872,868,4
215,9,5,881,873,8
216,3,4,884,877,7
217,2,3,886,880,6
218,5,5,891,885,6
219,2,3,893,888,5
220,5,5,898,893,5
221,3,4,901,897,4
222,3,3,904,900,4
223,5,3,909,903,6
224,3,4,912,907,5
225,4,5,916,912,4
226,5,5,921,917,4
227,5,3,926,920,6
228,4,4,930,924,6
229,6,5,936,929,7
230,2,3,938,932,6
231,5,4,943,936,7
232,3,3,946,939,7
233,4,7,950,946,4
234,4,2,954,948,6
235,3,6,957,954,3
236,5,4,962,958,4
237,3,4,965,962,3
238,5,3,970,965,5
239,4,4,974,969,5
240,3,3,977,972,5
241,3,3,980,975,5
242,3,6,983,981,2
243,5,3,988,984,4
244,5,5,993,989,4
245,6,4,999,993,6
246,4,3,1003,996,7
247,3,6,1006,1002,4
248,4,4,1010,1006,4
249,6,2,1016,1008,8
250,3,3,1019,1011,8
251,2,6,1021,1017,4
252,2,4,1023,1021,2
253,6,4,1029,1025,4
254,4,3,1033,1028,5
255,6,6,1039,1034,5
256,3,3,1042,1037,5
257,3,4,1045,1041,4
258,5,4,1050,1045,5
259,3,4,1053,1049,4
260,5,2,1058,1051,7
261,4,5,1062,1056,6
262,3,4,1065,1060,5
263,4,5,1069,1065,4
264,4,3,1073,1068,5
265,4,4,1077,1072,5
266,4,6,1081,1078,3
267,4,4,1085,1082,3
268,3,2,1088,1084,4
269,6,5,1094,1089,5
270,5,4,1099,1093,6
271,3,2,1102,1095,7
272,4,5,1106,1100,6
273,4,7,1110,1107,3
274,4,3,1114,1110,4
275,3,5,1117,1115,2
276,5,2,1122,1117,5
277,3,6,1125,1123,2
278,4,1,1129,1124,5
279,3,4,1132,1128,4
280,5,5,1137,1133,4
281,6,4,1143,1137,6
282,5,4,1148,1141,7
283,1,4,1149,1145,4
284,2,3,1151,1148,3
285,5,3,1156,1151,5
286,5,5,1161,1156,5
287,5,4,1166,1160,6
288,3,3,1169,1163,6
289,5,5,1174,1168,6
290,4,6,1178,1174,4
291,3,5,1181,1179,2
292,5,5,1186,1184,2
293,3,1,1189,1185,4
294,4,5,1193,1190,3
295,3,3,1196,1193,3
296,4,4,1200,1197,3
297,5,5,1205,1202,3
298,6,4,1211,1206,5
299,5,3,1216,1209,7
300,3,4,1219,1213,6
301,3,3,1222,1216,6
302,4,3,1226,1219,7
303,4,6,1230,1225,5
304,2,5,1232,1230,2
305,5,3,1237,1233,4
306,5,5,1242,1238,4
307,3,4,1245,1242,3
308,6,6,1251,1248,3
309,2,2,1253,1250,3
310,4,4,1257,1254,3
311,4,4,1261,1258,3
312,5,1,1266,1259,7
313,4,5,1270,1264,6
314,4,4,1274,1268,6
315,2,5,1276,1273,3
316,4,4,1280,1277,3
317,3,4,1283,1281,2
318,4,4,1287,1285,2
319,4,4,1291,1289,2
320,5,4,1296,1293,3
321,6,6,1302,1299,3
322,3,4,1305,1303,2
323,4,4,1309,1307,2
324,3,2,1312,1309,3
325,3,5,1315,1314,1
326,6,4,1321,1318,3
327,5,3,1326,1321,5
328,3,6,1329,1327,2
329,5,1,1334,1328,6
330,3,6,1337,1334,3
331,5,3,1342,1337,5
332,3,4,1345,1341,4
333,2,6,1347,1347,0
334,7,3,1354,1350,4
335,3,1,1357,1351,6
336,6,4,1363,1355,8
337,4,5,1367,1360,7
338,3,4,1370,1364,6
339,3,4,1373,1368,5
340,4,4,1377,1372,5
341,5,6,1382,1378,4
342,2,3,1384,1381,3
343,6,3,1390,1384,6
344,2,5,1392,1389,3
345,5,3,1397,1392,5
346,2,5,1399,1397,2
347,4,3,1403,1400,3
348,6,3,1409,1403,6
349,3,5,1412,1408,4
350,4,5,1416,1413,3
351,3,6,1419,1419,0
352,6,6,1425,1425,0
353,4,2,1429,1427,2
354,4,2,1433,1429,4
355,6,3,1439,1432,7
356,4,5,1443,1437,6
357,2,4,1445,1441,4
358,4,4,1449,1445,4
359,5,5,1454,1450,4
360,4,4,1458,1454,4
361,2,3,1460,1457,3
362,5,6,1465,1463,2
363,5,2,1470,1465,5
364,4,3,1474,1468,6
365,5,5,1479,1473,6
366,3,5,1482,1478,4
367,4,6,1486,1484,2
368,2,3,1488,1487,1
369,3,3,1491,1490,1
370,6,4,1497,1494,3
371,6,4,1503,1498,5
372,4,6,1507,1504,3
373,3,2,1510,1506,4
374,3,4,1513,1510,3
375,4,1,1517,1511,6
376,4,6,1521,1517,4
377,5,5,1526,1522,4
378,4,2,1530,1524,6
379,2,6,1532,1530,2
380,6,4,1538,1534,4
381,4,4,1542,1538,4
382,5,3,1547,1541,6
383,3,4,1550,1545,5
384,2,5,1552,1550,2
385,4,4,1556,1554,2
386,5,4,1561,1558,3
387,4,5,1565,1563,2
388,6,3,1571,1566,5
389,2,5,1573,1571,2
390,4,2,1577,1573,4
391,3,4,1580,1577,3
392,4,4,1584,1581,3
393,4,4,1588,1585,3
394,5,3,1593,1588,5
395,4,4,1597,1592,5
396,2,4,1599,1596,3
397,5,6,1604,1602,2
398,2,3,1606,1605,1
399,7,5,1613,1610,3
