view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,1011,794,1011,794,217
1,14,18,1025,812,213
2,17,19,1042,831,211
3,26,32,1068,863,205
4,24,28,1092,891,201
5,18,23,1110,914,196
6,16,23,1126,937,189
7,14,14,1140,951,189
8,21,16,1161,967,194
9,19,16,1180,983,197
10,16,19,1196,1002,194
11,22,20,1218,1022,196
12,19,18,1237,1040,197
13,16,18,1253,1058,195
14,16,20,1269,1078,191
15,19,21,1288,1099,189
16,16,22,1304,1121,183
17,23,12,1327,1133,194
18,17,19,1344,1152,192
19,20,19,1364,1171,193
20,15,18,1379,1189,190
21,24,28,1403,1217,186
22,19,13,1422,1230,192
23,18,14,1440,1244,196
24,17,16,1457,1260,197
25,17,21,1474,1281,193
26,20,22,1494,1303,191
27,20,15,1514,1318,196
28,14,20,1528,1338,190
29,20,18,1548,1356,192
30,17,20,1565,1376,189
31,14,16,1579,1392,187
32,18,22,1597,1414,183
33,18,17,1615,1431,184
34,22,14,1637,1445,192
35,19,17,1656,1462,194
36,17,17,1673,1479,194
37,12,23,1685,1502,183
38,21,14,1706,1516,190
39,21,17,1727,1533,194
40,15,17,1742,1550,192
41,30,21,1772,1571,201
42,17,18,1789,1589,200
43,19,17,1808,1606,202
44,20,17,1828,1623,205
45,17,17,1845,1640,205
46,19,21,1864,1661,203
47,19,21,1883,1682,201
48,17,16,1900,1698,202
49,20,18,1920,1716,204
50,18,18,1938,1734,204
51,18,20,1956,1754,202
52,18,16,1974,1770,204
53,18,17,1992,1787,205
54,18,17,2010,1804,206
55,19,18,2029,1822,207
56,17,19,2046,1841,205
57,15,19,2061,1860,201
58,16,19,2077,1879,198
59,19,21,2096,1900,196
60,18,14,2114,1914,200
61,19,21,2133,1935,198
62,18,24,2151,1959,192
63,16,18,2167,1977,190
64,22,18,2189,1995,194
65,16,15,2205,2010,195
66,13,18,2218,2028,190
67,19,20,2237,2048,189
68,22,13,2259,2061,198
69,22,20,2281,2081,200
70,18,18,2299,2099,200
71,15,20,2314,2119,195
72,14,17,2328,2136,192
73,25,21,2353,2157,196
74,15,19,2368,2176,192
75,18,13,2386,2189,197
76,19,16,2405,2205,200
77,17,17,2422,2222,200
78,16,20,2438,2242,196
79,21,18,2459,2260,199
80,16,18,2475,2278,197
81,17,18,2492,2296,196
82,21,23,2513,2319,194
83,14,18,2527,2337,190
84,21,19,2548,2356,192
85,18,22,2566,2378,188
86,14,28,2580,2406,174
87,18,18,2598,2424,174
88,23,14,2621,2438,183
89,19,11,2640,2449,191
90,17,21,2657,2470,187
91,19,21,2676,2491,185
92,17,16,2693,2507,186
93,15,19,2708,2526,182
94,18,20,2726,2546,180
95,18,20,2744,2566,178
96,21,14,2765,2580,185
97,19,20,2784,2600,184
98,17,18,2801,2618,183
99,20,16,2821,2634,187
100,19,17,2840,2651,189
101,14,15,2854,2666,188
102,20,23,2874,2689,185
103,20,12,2894,2701,193
104,19,21,2913,2722,191
105,11,17,2924,2739,185
106,21,21,2945,2760,185
107,11,15,2956,2775,181
108,21,19,2977,2794,183
109,22,19,2999,2813,186
110,19,20,3018,2833,185
111,15,17,3033,2850,183
112,16,25,3049,2875,174
113,22,12,3071,2887,184
114,20,17,3091,2904,187
115,20,20,3111,2924,187
116,16,15,3127,2939,188
117,16,17,3143,2956,187
118,21,16,3164,2972,192
119,19,24,3183,2996,187
120,14,18,3197,3014,183
121,23,15,3220,3029,191
122,16,16,3236,3045,191
123,20,25,3256,3070,186
124,18,19,3274,3089,185
125,21,10,3295,3099,196
126,17,22,3312,3121,191
127,19,19,3331,3140,191
128,13,21,3344,3161,183
129,19,13,3363,3174,189
130,16,17,3379,3191,188
131,19,17,3398,3208,190
132,22,26,3420,3234,186
133,18,17,3438,3251,187
134,14,15,3452,3266,186
135,18,14,3470,3280,190
136,21,17,3491,3297,194
137,15,18,3506,3315,191
138,14,19,3520,3334,186
139,20,16,3540,3350,190
140,22,23,3562,3373,189
141,18,16,3580,3389,191
142,17,19,3597,3408,189
143,23,16,3620,3424,196
144,23,17,3643,3441,202
145,14,21,3657,3462,195
146,21,20,3678,3482,196
147,22,14,3700,3496,204
148,19,22,3719,3518,201
149,16,18,3735,3536,199
150,16,18,3751,3554,197
151,18,19,3769,3573,196
152,19,19,3788,3592,196
153,18,17,3806,3609,197
154,21,14,3827,3623,204
155,20,17,3847,3640,207
156,14,17,3861,3657,204
157,14,20,3875,3677,198
158,23,16,3898,3693,205
159,21,18,3919,3711,208
160,15,21,3934,3732,202
161,20,23,3954,3755,199
162,17,16,3971,3771,200
163,21,14,3992,3785,207
164,15,18,4007,3803,204
165,13,18,4020,3821,199
166,22,22,4042,3843,199
167,17,22,4059,3865,194
168,20,15,4079,3880,199
169,13,19,4092,3899,193
170,20,13,4112,3912,200
171,16,18,4128,3930,198
172,19,18,4147,3948,199
173,19,20,4166,3968,198
174,20,16,4186,3984,202
175,23,13,4209,3997,212
176,15,20,4224,4017,207
177,19,17,4243,4034,209
178,17,20,4260,4054,206
179,21,18,4281,4072,209
180,16,18,4297,4090,207
181,20,20,4317,4110,207
182,20,19,4337,4129,208
183,14,16,4351,4145,206
184,17,22,4368,4167,201
185,15,18,4383,4185,198
186,19,18,4402,4203,199
187,20,17,4422,4220,202
188,22,17,4444,4237,207
189,16,26,4460,4263,197
190,18,12,4478,4275,203
191,23,14,4501,4289,212
192,18,20,4519,4309,210
193,16,15,4535,4324,211
194,15,22,4550,4346,204
195,14,17,4564,4363,201
196,19,18,4583,4381,202
197,19,14,4602,4395,207
198,16,18,4618,4413,205
199,18,17,4636,4430,206
200,17,20,4653,4450,203
201,21,16,4674,4466,208
202,15,21,4689,4487,202
203,21,20,4710,4507,203
204,14,19,4724,4526,198
205,20,18,4744,4544,200
206,18,16,4762,4560,202
207,21,17,4783,4577,206
208,20,19,4803,4596,207
209,17,21,4820,4617,203
210,22,19,4842,4636,206
211,14,15,4856,4651,205
212,19,16,4875,4667,208
213,17,16,4892,4683,209
214,15,18,4907,4701,206
215,18,23,4925,4724,201
216,22,17,4947,4741,206
217,20,16,4967,4757,210
218,14,18,4981,4775,206
219,22,16,5003,4791,212
220,17,22,5020,4813,207
221,13,16,5033,4829,204
222,29,17,5062,4846,216
223,21,17,5083,4863,220
224,16,26,5099,4889,210
225,17,19,5116,4908,208
226,21,12,5137,4920,217
227,15,16,5152,4936,216
228,17,20,5169,4956,213
229,20,20,5189,4976,213
230,20,16,5209,4992,217
231,16,18,5225,5010,215
232,16,16,5241,5026,215
233,21,21,5262,5047,215
234,20,16,5282,5063,219
235,18,19,5300,5082,218
236,19,21,5319,5103,216
237,17,15,5336,5118,218
238,17,22,5353,5140,213
239,21,18,5374,5158,216
240,15,14,5389,5172,217
241,24,17,5413,5189,224
242,23,16,5436,5205,231
243,17,17,5453,5222,231
244,22,19,5475,5241,234
245,18,23,5493,5264,229
246,13,17,5506,5281,225
247,21,14,5527,5295,232
248,21,23,5548,5318,230
249,14,18,5562,5336,226
250,21,18,5583,5354,229
251,17,19,5600,5373,227
252,17,20,5617,5393,224
253,21,16,5638,5409,229
254,14,16,5652,5425,227
255,15,18,5667,5443,224
256,24,16,5691,5459,232
257,16,17,5707,5476,231
258,17,14,5724,5490,234
259,16,21,5740,5511,229
260,22,17,5762,5528,234
261,16,16,5778,5544,234
262,17,23,5795,5567,228
263,20,22,5815,5589,226
264,18,18,5833,5607,226
265,16,16,5849,5623,226
266,16,15,5865,5638,227
267,21,20,5886,5658,228
268,21,24,5907,5682,225
269,17,15,5924,5697,227
270,19,19,5943,5716,227
271,17,9,5960,5725,235
