view,block_too_old_count_run-001,block_too_old_count_run-002,failed_verify_sync_info_count_run-001,failed_verify_sync_info_count_run-002,OnLocalTimeout_count_run-001,OnLocalTimeout_count_run-002,OnRemoteTimeout_count_run-001,OnRemoteTimeout_count_run-002,not_enough_timeouts_count_run-001,not_enough_timeouts_count_run-002,VoteRule_liveness_failed_count_run-001,VoteRule_liveness_failed_count_run-002,HighQC_updated_count_run-001,HighQC_updated_count_run-002,HighQC_not_updated_count_run-001,HighQC_not_updated_count_run-002,advanceView_count_run-001,advanceView_count_run-002,CommitRule_count_run-001,CommitRule_count_run-002,DECIDE_count_run-001,DECIDE_count_run-002,TryCommit_count_run-001,TryCommit_count_run-002,OnNewView_count_run-001,OnNewView_count_run-002
0,3,5,1,1,98,93,914,732,484,387,0,3,31,30,541,413,1011,794,28,18,4,2,17,13,41,36
1,1,0,0,0,0,1,2,3,0,1,4,1,3,3,2,5,14,18,12,8,2,0,3,4,4,4
2,0,0,0,1,1,3,2,5,1,1,0,0,3,2,3,5,17,19,8,6,2,1,5,6,4,2
3,0,0,0,0,1,4,9,7,4,3,0,0,4,5,5,6,26,32,6,14,3,7,2,3,6,3
4,0,0,0,0,0,3,2,7,1,0,0,0,5,4,2,5,24,28,9,10,3,4,7,5,4,6
5,0,0,0,1,0,0,0,2,0,0,0,0,5,3,3,2,18,23,14,7,4,2,1,4,3,7
6,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,6,16,23,11,10,2,2,5,3,5,2
7,0,1,0,0,0,0,0,0,0,0,0,0,3,4,2,1,14,14,16,14,6,5,5,6,3,2
8,1,1,0,0,0,0,0,0,0,0,0,0,3,2,6,5,21,16,9,13,4,5,4,4,3,4
9,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2,19,16,12,14,6,6,2,3,3,7
10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,16,19,12,13,3,3,7,6,3,2
11,1,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,22,20,14,11,4,3,3,4,7,7
12,1,1,0,0,0,0,0,0,0,0,0,0,5,4,2,3,19,18,8,8,2,1,4,2,2,1
13,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,3,16,18,14,10,5,4,3,6,7,5
14,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,16,20,7,15,3,7,3,3,4,3
