view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
0,484,387,484,387,97
1,0,1,484,388,96
2,1,1,485,389,96
3,4,3,489,392,97
4,1,0,490,392,98
20,3,0,493,392,101
40,1,0,494,392,102
62,0,1,494,393,101
85,0,1,494,394,100
86,0,1,494,395,99
116,1,0,495,395,100
143,1,0,496,395,101
144,2,0,498,395,103
220,1,0,499,395,104
242,1,0,500,395,105
309,0,1,500,396,104
332,1,0,501,396,105
333,1,0,502,396,106
397,0,1,502,397,105
405,1,0,503,397,106
407,1,0,504,397,107
408,1,0,505,397,108
491,0,1,505,398,107
543,0,1,505,399,106
545,0,1,505,400,105
546,0,1,505,401,104
564,2,0,507,401,106
604,0,1,507,402,105
653,1,0,508,402,106
787,1,0,509,402,107
870,0,1,509,403,106
871,0,1,509,404,105
894,1,1,510,405,105
895,0,1,510,406,104
896,0,4,510,410,100
897,2,2,512,412,100
898,0,4,512,416,96
899,0,8,512,424,88
900,0,1,512,425,87
901,0,5,512,430,82
902,0,3,512,433,79
903,0,3,512,436,76
904,0,5,512,441,71
905,0,4,512,445,67
906,0,7,512,452,60
907,0,4,512,456,56
908,0,1,512,457,55
909,0,1,512,458,54
910,0,3,512,461,51
911,0,6,512,467,45
912,0,6,512,473,39
913,0,1,512,474,38
914,0,2,512,476,36
916,0,1,512,477,35
917,0,1,512,478,34
918,0,1,512,479,33
922,0,1,512,480,32
924,0,3,512,483,29
925,0,1,512,484,28
1120,0,3,512,487,25
1124,0,2,512,489,23
1212,1,0,513,489,24
1528,1,0,514,489,25
1556,1,0,515,489,26
1646,2,0,517,489,28
1713,1,0,518,489,29
1752,1,0,519,489,30
1753,3,0,522,489,33
1754,1,0,523,489,34
1764,1,0,524,489,35
2017,1,0,525,489,36
2018,1,0,526,489,37
2020,1,0,527,489,38
2076,3,0,530,489,41
2189,1,0,531,489,42
2191,1,0,532,489,43
2250,2,0,534,489,45
2251,1,0,535,489,46
2367,1,0,536,489,47
2368,1,0,537,489,48
2369,1,0,538,489,49
2414,1,0,539,489,50
2415,1,0,540,489,51
2489,1,0,541,489,52
2551,1,0,542,489,53
2552,2,0,544,489,55
2612,1,0,545,489,56
2613,1,0,546,489,57
2614,2,0,548,489,59
2615,1,0,549,489,60
2676,1,0,550,489,61
2679,1,0,551,489,62
2744,1,0,552,489,63
2745,1,0,553,489,64
2746,1,0,554,489,65
2952,1,0,555,489,66
3089,1,0,556,489,67
3090,1,0,557,489,68
3091,1,0,558,489,69
3121,1,0,559,489,70
3123,1,0,560,489,71
3124,1,0,561,489,72
3162,1,0,562,489,73
3163,3,0,565,489,76
3309,1,0,566,489,77
3312,3,0,569,489,80
3383,1,0,570,489,81
3385,1,0,571,489,82
3386,2,0,573,489,84
3459,1,0,574,489,85
3460,1,0,575,489,86
3535,1,0,576,489,87
3541,1,0,577,489,88
3543,1,0,578,489,89
3544,1,0,579,489,90
3610,4,0,583,489,94
3614,3,0,586,489,97
3688,1,0,587,489,98
3689,1,0,588,489,99
3690,2,0,590,489,101
3691,1,0,591,489,102
3692,1,0,592,489,103
3693,2,0,594,489,105
3694,2,0,596,489,107
3695,1,0,597,489,108
3696,2,0,599,489,110
3697,2,0,601,489,112
3698,1,0,602,489,113
3699,2,0,604,489,115
3700,2,0,606,489,117
3702,1,0,607,489,118
3703,1,0,608,489,119
3705,3,0,611,489,122
3706,3,0,614,489,125
3709,1,0,615,489,126
3710,1,0,616,489,127
3711,1,0,617,489,128
3712,1,0,618,489,129
3713,1,0,619,489,130
3714,2,0,621,489,132
unknown,0,2,,,
